"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,9.93562920236726,0.947,0.003,0,"15","Galnt13"
3.01648678703112e-279,9.92310467597867,0.516,0.001,7.58012964713051e-275,"15","Foxi2"
1.2546834763834e-283,9.79294757665549,0.525,0.001,3.15289410780386e-279,"15","Kl"
0,9.7592009887177,0.781,0.002,0,"15","Clcnka"
1.80236560995003e-154,9.62316052580337,0.311,0,4.52916454124343e-150,"15","Oprd1"
1.05298382341258e-240,9.42521217445018,0.459,0.001,2.64604304985347e-236,"15","Bsnd"
6.35948156772339e-153,9.13559696852612,0.307,0.001,1.59807412315321e-148,"15","Tmem61"
0,9.04007882916799,0.965,0.059,0,"15","Coch"
1.34346064777643e-286,10.7797409599708,0.536,0.002,3.3759822617974e-282,"16","Slc22a20"
1.06826284817472e-262,10.6346580465282,0.496,0.001,2.68443771117824e-258,"16","Slc22a2"
6.12799864519322e-126,10.5951302202737,0.26,0,1.5399047795506e-121,"16","Gcnt3"
0,10.3434467828296,0.98,0.011,0,"16","Chil6"
7.06508439904058e-248,10.178555092531,0.474,0.001,1.77538505863491e-243,"16","Cyp1a1"
3.86646993617606e-161,10.0626270381604,0.324,0.001,9.71605230261683e-157,"16","Calb1"
9.24167039793282e-151,8.00699996271809,0.309,0.002,2.32233935429654e-146,"16","Cpsf4l"
0,7.94868238726137,0.759,0.007,0,"16","Ggt1"
0,7.83731568310665,0.733,0.012,0,"16","Ldhd"
0,7.8322476445252,0.992,0.035,0,"16","Vmo1"
0,10.4955126206203,0.93,0.004,0,"17","Muc2"
0,8.07345751867845,0.858,0.006,0,"17","Gldn"
7.63817874204417e-263,8.03610165625555,0.528,0.003,1.91939793608828e-258,"17","B630019A10Rik"
0,8.01356678803979,0.999,0.052,0,"17","Sec14l3"
1.7283303336721e-252,7.69492148924195,0.507,0.003,4.34312129548463e-248,"17","E330011O21Rik"
5.25673320277972e-142,7.50331721966896,0.303,0.002,1.32096448652652e-137,"17","Aifm3"
5.92151448072107e-128,7.41663755894685,0.273,0.002,1.4880173738604e-123,"17","Gm35909"
1.95617374181354e-221,7.28785515037508,0.464,0.004,4.91566899580324e-217,"17","Mogat1"
0,7.2409290682687,0.877,0.016,0,"17","AU021092"
1.06219513317771e-263,7.13773383435863,0.548,0.009,2.66919015016226e-259,"17","Tex33"
4.83437884813199e-179,10.9262374459048,0.369,0,1.21483106074709e-174,"18","Foxd3"
7.88599130877787e-210,10.6953329912271,0.429,0,1.98167075598279e-205,"18","Gpr37l1"
3.78649627407576e-283,10.5310007802019,0.567,0.005,9.51508648712497e-279,"18","Mpz"
1.00849601459039e-135,9.7112016061948,0.287,0.001,2.53424963506419e-131,"18","Mmd2"
6.4161439051816e-178,9.65643085768746,0.371,0.001,1.61231280193309e-173,"18","Gjc3"
3.67387869086654e-203,9.24396405951261,0.434,0.009,9.23208976227853e-199,"18","Fabp7"
1.38513990475942e-157,9.19905570747405,0.349,0.003,3.48071806666995e-153,"18","Scn7a"
0,8.96579246298676,0.71,0.013,0,"18","Plp1"
9.49047017724161e-136,8.87163979333697,0.287,0.001,2.38486025083904e-131,"18","Col28a1"
4.59434395588109e-225,8.78206450848079,0.463,0.003,1.15451269267336e-220,"18","Cmtm5"
1.61640013412407e-195,11.6108429341947,0.404,0,4.06185189704038e-191,"19","Ancv1r"
5.87611617502686e-284,11.3813249038432,0.567,0.001,1.4766092336225e-279,"19","Pvalb"
0,11.2141368076487,0.838,0.001,0,"19","Ankrd63"
0,11.1622570191628,0.636,0,0,"19","Cacng2"
0,10.147964079208,0.749,0.001,0,"19","Vil1"
0,9.97378456695003,0.945,0.002,0,"19","Calr4"
1.54993553199422e-123,9.90947089608742,0.262,0,3.89483299834828e-119,"19","B4galnt2"
